xi,ti,hi,ui,zi
0,0,3.2182279,1.5486261,100.0
0,60,3.2191281,1.5485228,100.0
0,120,3.2200232,1.5484141,99.99881
0,180,3.220912,1.5482997,99.99762
0,240,3.2217941,1.5481793,99.99702
0,300,3.2226696,1.5480535,99.99642
0,360,3.2235394,1.5479221,99.99523
0,420,3.2244024,1.5477855,99.99523
0,480,3.2252603,1.5476433,99.99464
0,540,3.2261133,1.5474966,99.99345
0,600,3.2269592,1.5473441,99.99284
0,660,3.2278008,1.5471872,99.99225
0,720,3.2286363,1.5470248,99.99106
0,780,3.229467,1.5468585,99.99106
0,840,3.2302923,1.5466868,99.99046
0,900,3.2311134,1.546511,99.98927
0,960,3.2319293,1.5463308,99.98868
0,1020,3.2327404,1.5461458,99.98808
0,1080,3.2335467,1.5459566,99.986885
0,1140,3.2343493,1.5457631,99.986885
0,1200,3.235146,1.545566,99.98629
0,1260,3.23594,1.5453643,99.985695
0,1320,3.2367291,1.5451587,99.984505
0,1380,3.237514,1.5449495,99.98391
0,1440,3.2382956,1.5447364,99.98271
0,1500,3.2390718,1.5445199,99.98212
0,1560,3.2398458,1.544299,99.98212
0,1620,3.240615,1.544075,99.98152
0,1680,3.2413812,1.5438477,99.98033
0,1740,3.2421436,1.5436163,99.97974
0,1800,3.2429032,1.5433823,99.978546
0,1860,3.2436585,1.5431448,99.97794
0,1920,3.244411,1.5429039,99.97794
0,1980,3.2451606,1.5426601,99.97735
0,2040,3.2459064,1.5424131,99.97616
0,2100,3.2466497,1.5421633,99.97556
0,2160,3.2473898,1.5419103,99.97497
0,2220,3.248127,1.5416546,99.97377
0,2280,3.2488613,1.5413964,99.97377
0,2340,3.2495933,1.5411351,99.973175
0,2400,3.2503223,1.5408714,99.971985
0,2460,3.2510486,1.540605,99.97139
0,2520,3.2517729,1.5403358,99.970795
0,2580,3.2524948,1.5400642,99.970795
0,2640,3.2532144,1.5397906,99.969604
0,2700,3.253931,1.5395142,99.96901
0,2760,3.2546458,1.5392356,99.96781
0,2820,3.2553587,1.5389549,99.96722
0,2880,3.2560687,1.5386717,99.96662
0,2940,3.2567773,1.5383868,99.96662
0,3000,3.2574835,1.5380995,99.96543
0,3060,3.2581878,1.5378103,99.964836
