xi,ti,hi,ui,zi
7500,0,3.219492,1.5497147,92.5
7500,60,3.2196698,1.5495737,92.5
7500,120,3.2198453,1.549433,92.5
7500,180,3.2200198,1.549293,92.5
7500,240,3.220193,1.5491533,92.5
7500,300,3.220365,1.5490136,92.5
7500,360,3.2205358,1.5488746,92.5
7500,420,3.2207055,1.5487356,92.5
7500,480,3.2208743,1.5485972,92.5
7500,540,3.2210422,1.5484593,92.5
7500,600,3.2212076,1.5483212,92.5
7500,660,3.2213736,1.5481842,92.5
7500,720,3.221538,1.5480471,92.5
7500,780,3.2217011,1.5479105,92.5
7500,840,3.2218633,1.5477746,92.5
7500,900,3.2220244,1.5476388,92.5
7500,960,3.2221842,1.5475035,92.5
7500,1020,3.222344,1.5473685,92.5
7500,1080,3.2225022,1.5472343,92.5
7500,1140,3.2226596,1.5471002,92.5
7500,1200,3.222815,1.5469669,92.5
7500,1260,3.2229714,1.546834,92.5
7500,1320,3.223125,1.5467012,92.5
7500,1380,3.2232795,1.546569,92.5
7500,1440,3.223432,1.5464376,92.5
7500,1500,3.2235842,1.5463064,92.5
7500,1560,3.2237353,1.5461758,92.5
7500,1620,3.223886,1.5460459,92.5
7500,1680,3.2240357,1.5459162,92.5
7500,1740,3.2241836,1.545787,92.5
7500,1800,3.2243319,1.5456585,92.5
7500,1860,3.2244792,1.5455306,92.5
7500,1920,3.2246256,1.545403,92.5
7500,1980,3.224771,1.5452759,92.5
7500,2040,3.2249155,1.5451496,92.5
7500,2100,3.2250605,1.5450233,92.5
7500,2160,3.225204,1.544898,92.5
7500,2220,3.2253466,1.5447732,92.5
7500,2280,3.2254887,1.5446489,92.5
7500,2340,3.2256303,1.5445251,92.5
7500,2400,3.225771,1.5444016,92.5
7500,2460,3.2259111,1.544279,92.5
7500,2520,3.2260509,1.5441571,92.5
7500,2580,3.2261896,1.5440356,92.5
7500,2640,3.226328,1.5439146,92.5
7500,2700,3.2264657,1.5437938,92.5
7500,2760,3.226603,1.5436742,92.5
7500,2820,3.226739,1.543555,92.5
7500,2880,3.2268753,1.5434365,92.5
7500,2940,3.2270107,1.5433182,92.5
7500,3000,3.2271457,1.5432006,92.5
7500,3060,3.2272801,1.5430835,92.5
7500,3120,3.2274137,1.5429671,92.5
7500,3180,3.2275467,1.542851,92.5
7500,3240,3.2276793,1.542736,92.5
7500,3300,3.2278118,1.542621,92.5
7500,3360,3.227944,1.5425068,92.5
7500,3420,3.2280746,1.5423933,92.5
7500,3480,3.2282057,1.5422803,92.5
7500,3540,3.2283359,1.5421677,92.5
7500,3600,3.228466,1.5420561,92.5
7500,3660,3.2285957,1.541945,92.5
7500,3720,3.2287235,1.5418341,92.5
